Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month,Year,Day
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,53200,180,January,2022,Tuesday
Van Tuxwell,India,85% Dark Bars,2022-08-01,78960,94,August,2022,Monday
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,45010,91,July,2022,Thursday
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,127260,342,April,2022,Wednesday
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,136850,184,February,2022,Thursday
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,53760,38,June,2022,Monday
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,136850,176,January,2022,Tuesday
Gunar Cockshoot,Australia,After Nines,2022-03-24,30800,73,March,2022,Thursday
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,39900,59,April,2022,Wednesday
Brien Boise,Australia,99% Dark & Pure,2022-07-04,28350,102,July,2022,Monday
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,47040,62,January,2022,Thursday
Barr Faughny,USA,Orange Choco,2022-03-10,37030,11,March,2022,Thursday
Mallorie Waber,Canada,Eclairs,2022-01-13,14420,286,January,2022,Thursday
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,1680,156,July,2022,Thursday
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,83790,173,August,2022,Wednesday
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,67900,356,January,2022,Wednesday
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,40670,42,February,2022,Monday
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,30170,140,April,2022,Tuesday
Beverie Moffet,Canada,Milk Bars,2022-02-16,87990,250,February,2022,Wednesday
Curtice Advani,UK,85% Dark Bars,2022-06-08,10850,172,June,2022,Wednesday
Brien Boise,Australia,Eclairs,2022-06-27,68880,88,June,2022,Monday
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,12670,157,February,2022,Thursday
Marney O'Breen,USA,After Nines,2022-05-30,47530,163,May,2022,Monday
Husein Augar,UK,Drinking Coco,2022-03-14,30030,113,March,2022,Monday
Kaine Padly,Australia,Eclairs,2022-02-28,76720,115,February,2022,Monday
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,1680,321,January,2022,Wednesday
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,16520,186,February,2022,Wednesday
Husein Augar,USA,Eclairs,2022-07-07,40250,112,July,2022,Thursday
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,94920,151,July,2022,Tuesday
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,50610,301,June,2022,Wednesday
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,17220,121,May,2022,Tuesday
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,124460,150,June,2022,Wednesday
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,42840,94,May,2022,Wednesday
Karlen McCaffrey,UK,Almond Choco,2022-06-30,68390,133,June,2022,Thursday
Andria Kimpton,Canada,After Nines,2022-05-11,21630,70,May,2022,Wednesday
