Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,1/4/2022," $ 5,320.00 ",180
Van Tuxwell,India,85% Dark Bars,8/1/2022," $ 7,896.00 ",94
Gigi Bohling,India,Peanut Butter Cubes,7/7/2022," $ 4,501.00 ",91
Jan Morforth,Australia,Peanut Butter Cubes,4/27/2022," $ 12,726.00 ",342
Jehu Rudeforth,UK,Peanut Butter Cubes,2/24/2022," $ 13,685.00 ",184
Van Tuxwell,India,Smooth Sliky Salty,6/6/2022," $ 5,376.00 ",38
Oby Sorrel,UK,99% Dark & Pure,1/25/2022," $ 13,685.00 ",176
Gunar Cockshoot,Australia,After Nines,3/24/2022," $ 3,080.00 ",73
Jehu Rudeforth,New Zealand,50% Dark Bites,4/20/2022," $ 3,990.00 ",59
Brien Boise,Australia,99% Dark & Pure,7/4/2022," $ 2,835.00 ",102
Rafaelita Blaksland,UK,Smooth Sliky Salty,1/13/2022," $ 4,704.00 ",62
Barr Faughny,USA,Orange Choco,3/10/2022," $ 3,703.00 ",11
Mallorie Waber,Canada,Eclairs,1/13/2022," $ 1,442.00 ",286
Karlen McCaffrey,New Zealand,Drinking Coco,7/28/2022, $ 168.00 ,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,8/3/2022," $ 8,379.00 ",173
Beverie Moffet,Australia,Organic Choco Syrup,1/26/2022," $ 6,790.00 ",356
Van Tuxwell,Canada,Organic Choco Syrup,2/14/2022," $ 4,067.00 ",42
Roddy Speechley,USA,Smooth Sliky Salty,4/5/2022," $ 3,017.00 ",140
Beverie Moffet,Canada,Milk Bars,2/16/2022," $ 8,799.00 ",250
Curtice Advani,UK,85% Dark Bars,6/8/2022," $ 1,085.00 ",172
Brien Boise,Australia,Eclairs,6/27/2022," $ 6,888.00 ",88
Gunar Cockshoot,USA,Spicy Special Slims,2/17/2022," $ 1,267.00 ",157
Marney O'Breen,USA,After Nines,5/30/2022," $ 4,753.00 ",163
Husein Augar,UK,Drinking Coco,3/14/2022," $ 3,003.00 ",113
Kaine Padly,Australia,Eclairs,2/28/2022," $ 7,672.00 ",115
Karlen McCaffrey,India,Fruit & Nut Bars,1/26/2022, $ 168.00 ,321
Roddy Speechley,Canada,Spicy Special Slims,2/9/2022," $ 1,652.00 ",186
Husein Augar,USA,Eclairs,7/7/2022," $ 4,025.00 ",112
Dennison Crosswaite,New Zealand,White Choc,7/5/2022," $ 9,492.00 ",151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,6/15/2022," $ 5,061.00 ",301
Van Tuxwell,New Zealand,85% Dark Bars,5/24/2022," $ 1,722.00 ",121
Rafaelita Blaksland,UK,99% Dark & Pure,6/29/2022," $ 12,446.00 ",150
Wilone O'Kielt,Australia,Manuka Honey Choco,5/11/2022," $ 4,284.00 ",94
Karlen McCaffrey,UK,Almond Choco,6/30/2022," $ 6,839.00 ",133
Andria Kimpton,Canada,After Nines,5/11/2022," $ 2,163.00 ",70
Roddy Speechley,USA,Manuka Honey Choco,7/22/2022," $ 9,583.00 ",315
Andria Kimpton,UK,50% Dark Bites,8/24/2022," $ 2,653.00 ",314
Kelci Walkden,New Zealand,After Nines,7/7/2022, $ 147.00 ,72
Camilla Castle,Australia,85% Dark Bars,5/19/2022," $ 3,654.00 ",14
Karlen McCaffrey,India,Manuka Honey Choco,7/4/2022," $ 2,443.00 ",581
Kelci Walkden,USA,After Nines,6/2/2022, $ 938.00 ,16
Karlen McCaffrey,USA,Raspberry Choco,4/15/2022," $ 14,749.00 ",354
Mallorie Waber,Canada,Choco Coated Almonds,7/11/2022," $ 4,781.00 ",241
Andria Kimpton,India,Spicy Special Slims,2/23/2022," $ 6,307.00 ",142
Madelene Upcott,Canada,Almond Choco,8/22/2022," $ 7,602.00 ",102
Kaine Padly,USA,Peanut Butter Cubes,2/16/2022," $ 6,790.00 ",188
Van Tuxwell,USA,50% Dark Bites,1/13/2022," $ 9,737.00 ",160
Curtice Advani,Australia,Milk Bars,2/14/2022," $ 6,979.00 ",18
Roddy Speechley,India,Eclairs,6/10/2022," $ 4,382.00 ",303
Curtice Advani,India,Fruit & Nut Bars,7/7/2022," $ 5,243.00 ",176
Curtice Advani,Canada,Almond Choco,3/24/2022," $ 4,865.00 ",70
Brien Boise,Australia,Fruit & Nut Bars,6/6/2022," $ 8,575.00 ",23
Dotty Strutley,Australia,Drinking Coco,7/19/2022, $ 91.00 ,135
Beverie Moffet,USA,Raspberry Choco,4/19/2022," $ 14,798.00 ",83
Marney O'Breen,India,85% Dark Bars,7/19/2022," $ 2,205.00 ",179
Jehu Rudeforth,Canada,Drinking Coco,7/15/2022, $ 441.00 ,24
Ches Bonnell,New Zealand,Spicy Special Slims,2/14/2022," $ 3,556.00 ",18
Brien Boise,Canada,99% Dark & Pure,5/18/2022," $ 16,793.00 ",416
Barr Faughny,Australia,Fruit & Nut Bars,6/30/2022," $ 15,421.00 ",55
Andria Kimpton,Australia,50% Dark Bites,6/2/2022," $ 4,438.00 ",227
Andria Kimpton,Australia,Drinking Coco,6/28/2022," $ 1,603.00 ",48
Marney O'Breen,Australia,Organic Choco Syrup,5/16/2022, $ 273.00 ,174
Kelci Walkden,Canada,Baker's Choco Chips,5/26/2022," $ 3,073.00 ",302
Karlen McCaffrey,India,Almond Choco,7/6/2022," $ 6,090.00 ",149
Oby Sorrel,India,99% Dark & Pure,5/27/2022," $ 10,255.00 ",11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,4/14/2022," $ 2,030.00 ",11
Van Tuxwell,Australia,Organic Choco Syrup,8/10/2022," $ 19,453.00 ",14
Camilla Castle,India,50% Dark Bites,7/4/2022," $ 9,275.00 ",411
Oby Sorrel,India,Organic Choco Syrup,7/8/2022," $ 6,181.00 ",56
Jan Morforth,USA,Peanut Butter Cubes,7/22/2022," $ 9,037.00 ",102
Gigi Bohling,USA,Choco Coated Almonds,3/2/2022," $ 12,313.00 ",103
Gigi Bohling,UK,Almond Choco,1/10/2022," $ 5,642.00 ",9
Jehu Rudeforth,New Zealand,White Choc,3/11/2022," $ 2,800.00 ",241
Andria Kimpton,New Zealand,Peanut Butter Cubes,6/20/2022, $ 959.00 ,265
Van Tuxwell,UK,Organic Choco Syrup,8/26/2022," $ 2,002.00 ",214
Roddy Speechley,Canada,Milk Bars,7/13/2022, $ 609.00 ,32
Camilla Castle,USA,Spicy Special Slims,2/11/2022," $ 1,274.00 ",244
Marney O'Breen,USA,Orange Choco,1/27/2022," $ 7,595.00 ",181
Van Tuxwell,UK,99% Dark & Pure,1/31/2022," $ 4,725.00 ",137
Camilla Castle,USA,White Choc,8/18/2022," $ 9,681.00 ",24
Andria Kimpton,USA,Raspberry Choco,6/30/2022," $ 14,504.00 ",21
Dotty Strutley,Australia,Fruit & Nut Bars,8/23/2022, $ 280.00 ,311
Brien Boise,New Zealand,Mint Chip Choco,8/1/2022, $ 63.00 ,181
